Run,Fraction,TechRepMixture,Channel,Condition,Mixture,BioReplicate
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel1,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel2,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel3,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel4,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel5,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel6,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel7,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel8,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel9,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel10,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel11,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel12,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel13,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel14,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel15,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C1,1,1,channel16,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel1,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel2,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel3,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel4,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel5,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel6,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel7,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel8,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel9,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel10,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel11,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel12,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel13,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel14,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel15,Blank,Mixture1,Blank
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C2,2,1,channel16,Treated,Mixture1,Treated
HF_20230216_DDA_350to1500mz_120min_1to32_700nLmin_60C_4ul_TMT_frac_C3,3,1,channel1,Blank,Mixture1,Blank
